광역시,시군구,행정동,법정동,X,Y,관광지명,주소
경기도,가평군,청평면,청평면 대성리,345484,564377,대성,경기 가평군 청평면 대성강변길 44
경기도,가평군,상면,상면 덕현리,348401,572570,산장,경기 가평군 상면 덕현산장길 71
경기도,남양주시,수동면,수동면 수산리,336052,572085,수동,경기 남양주시 수동면 비룡로 1533-1
경기도,양주시,장흥면,장흥면 석현리,307996,570859,장흥,경기 양주시 장흥면 석현리 산2-3
경기도,양평군,용문면,용문면 신점리,362327,549872,용문산,경기 양평군 용문면 용문산로 782 용문사
경기도,여주시,-,천송동,370138,521785,신륵사,경기 여주시 신륵사길 73
경기도,포천시,관인면,관인면 냉정리,337401,616438,한탄강,경기도 포천시 관인면 냉정리 3551
경기도,파주시,조리읍,조리읍 봉일천리,297157,571537,공릉,경기도 파주시 조리읍 봉일천리 산15
경기도,파주시,문산읍,문산읍 마정리,289525,588208,임진각,경기 파주시 문산읍 임진각로 164
경기도,평택시,팽성읍,팽성읍 내리,313915,486385,내리,경기 평택시 팽성읍 내리 18-2
경기도,포천시,이동면,이동면 도평리,347644,608332,백운계곡,경기 포천시 이동면 도평리
경기도,포천시,영북면,영북면 산정리,340717,607561,산정호수,경기 포천시 영북면 산정호수로411번길 89
경기도,동두천시,-,상봉암동,319737,594063,소요산,경기 동두천시 평화로2910번길 406-33
경기도,남양주시,평내동,평내동,332707,560737,궁평,경기 남양주시 평내동
